ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
  sample  278:    11219  (running sum:   2964714, n_ok: 278)
  sample  279:    11773  (running sum:   2976487, n_ok: 279)
  sample  280:    11631  (running sum:   2988118, n_ok: 280)
  sample  281:    11419  (running sum:   2999537, n_ok: 281)
  sample  282:    11057  (running sum:   3010594, n_ok: 282)
  sample  283:    10798  (running sum:   3021392, n_ok: 283)
  sample  284:    10582  (running sum:   3031974, n_ok: 284)
  sample  285:    10507  (running sum:   3042481, n_ok: 285)
  sample  286:    10341  (running sum:   3052822, n_ok: 286)
  sample  287:    10357  (running sum:   3063179, n_ok: 287)
  sample  288:    10380  (running sum:   3073559, n_ok: 288)
  sample  289:    10108  (running sum:   3083667, n_ok: 289)
  sample  290:    10372  (running sum:   3094039, n_ok: 290)
  sample  291:    10282  (running sum:   3104321, n_ok: 291)
  sample  292:    10429  (running sum:   3114750, n_ok: 292)
  sample  293:    10283  (running sum:   3125033, n_ok: 293)
  sample  294:     9998  (running sum:   3135031, n_ok: 294)
  sample  295:     9529  (running sum:   3144560, n_ok: 295)
  sample  296:     9474  (running sum:   3154034, n_ok: 296)
  sample  297:     9483  (running sum:   3163517, n_ok: 297)
  sample  298:     9607  (running sum:   3173124, n_ok: 298)
  sample  299:    10161  (running sum:   3183285, n_ok: 299)
  sample  300:    10386  (running sum:   3193671, n_ok: 300)
  sample  301:    10527  (running sum:   3204198, n_ok: 301)
  sample  302:    10654  (running sum:   3214852, n_ok: 302)
  sample  303:    10861  (running sum:   3225713, n_ok: 303)
  sample  304:    10960  (running sum:   3236673, n_ok: 304)
  sample  305:    11024  (running sum:   3247697, n_ok: 305)
  sample  306:    10922  (running sum:   3258619, n_ok: 306)
  sample  307:    10992  (running sum:   3269611, n_ok: 307)
  sample  308:    11031  (running sum:   3280642, n_ok: 308)
  sample  309:    11065  (running sum:   3291707, n_ok: 309)
  sample  310:    10997  (running sum:   3302704, n_ok: 310)
  sample  311:    11345  (running sum:   3314049, n_ok: 311)
  sample  312:    12221  (running sum:   3326270, n_ok: 312)
  sample  313:    12144  (running sum:   3338414, n_ok: 313)
  sample  314:    12034  (running sum:   3350448, n_ok: 314)
  sample  315:    11917  (running sum:   3362365, n_ok: 315)
  sample  316:    11300  (running sum:   3373665, n_ok: 316)
  sample  317:    11303  (running sum:   3384968, n_ok: 317)
  sample  318:    11128  (running sum:   3396096, n_ok: 318)
  sample  319:    11040  (running sum:   3407136, n_ok: 319)
  sample  320:    11015  (running sum:   3418151, n_ok: 320)
  sample  321:    11001  (running sum:   3429152, n_ok: 321)
  sample  322:    10822  (running sum:   3439974, n_ok: 322)
  sample  323:    10833  (running sum:   3450807, n_ok: 323)
  sample  324:    10860  (running sum:   3461667, n_ok: 324)
  sample  325:    10814  (running sum:   3472481, n_ok: 325)
  sample  326:    10836  (running sum:   3483317, n_ok: 326)
  sample  327:    10706  (running sum:   3494023, n_ok: 327)
  sample  328:    10231  (running sum:   3504254, n_ok: 328)
  sample  329:     9773  (running sum:   3514027, n_ok: 329)
  sample  330:     9943  (running sum:   3523970, n_ok: 330)
  sample  331:     9968  (running sum:   3533938, n_ok: 331)
  sample  332:    10085  (running sum:   3544023, n_ok: 332)
  sample  333:    10548  (running sum:   3554571, n_ok: 333)
  sample  334:    10697  (running sum:   3565268, n_ok: 334)
  sample  335:    10734  (running sum:   3576002, n_ok: 335)
  sample  336:    10777  (running sum:   3586779, n_ok: 336)
  sample  337:    10744  (running sum:   3597523, n_ok: 337)
  sample  338:    10818  (running sum:   3608341, n_ok: 338)
  sample  339:    10918  (running sum:   3619259, n_ok: 339)
  sample  340:    10809  (running sum:   3630068, n_ok: 340)
  sample  341:    10814  (running sum:   3640882, n_ok: 341)
  sample  342:    10712  (running sum:   3651594, n_ok: 342)
  sample  343:    10638  (running sum:   3662232, n_ok: 343)
  sample  344:    10801  (running sum:   3673033, n_ok: 344)
  sample  345:    11331  (running sum:   3684364, n_ok: 345)
  sample  346:    11690  (running sum:   3696054, n_ok: 346)
  sample  347:    11393  (running sum:   3707447, n_ok: 347)
  sample  348:    11438  (running sum:   3718885, n_ok: 348)
  sample  349:    10961  (running sum:   3729846, n_ok: 349)
  sample  350:    10802  (running sum:   3740648, n_ok: 350)
  sample  351:    10597  (running sum:   3751245, n_ok: 351)
  sample  352:    10552  (running sum:   3761797, n_ok: 352)
  sample  353:    10576  (running sum:   3772373, n_ok: 353)
  sample  354:    10599  (running sum:   3782972, n_ok: 354)
  sample  355:    10706  (running sum:   3793678, n_ok: 355)
  sample  356:    10252  (running sum:   3803930, n_ok: 356)
  sample  357:    10169  (running sum:   3814099, n_ok: 357)
  sample  358:     9855  (running sum:   3823954, n_ok: 358)
  sample  359:     9906  (running sum:   3833860, n_ok: 359)
  sample  360:    10121  (running sum:   3843981, n_ok: 360)
  sample  361:     9711  (running sum:   3853692, n_ok: 361)
  sample  362:     9132  (running sum:   3862824, n_ok: 362)
  sample  363:     9094  (running sum:   3871918, n_ok: 363)
  sample  364:     9514  (running sum:   3881432, n_ok: 364)
  sample  365:     9712  (running sum:   3891144, n_ok: 365)
  sample  366:    10079  (running sum:   3901223, n_ok: 366)
  sample  367:    10159  (running sum:   3911382, n_ok: 367)
  sample  368:     9923  (running sum:   3921305, n_ok: 368)
  sample  369:     9917  (running sum:   3931222, n_ok: 369)
  sample  370:    10030  (running sum:   3941252, n_ok: 370)
  sample  371:    10069  (running sum:   3951321, n_ok: 371)
  sample  372:    10136  (running sum:   3961457, n_ok: 372)
  sample  373:    10195  (running sum:   3971652, n_ok: 373)
  sample  374:    10410  (running sum:   3982062, n_ok: 374)
  sample  375:    10618  (running sum:   3992680, n_ok: 375)
  sample  376:    10633  (running sum:   4003313, n_ok: 376)
  sample  377:    10666  (running sum:   4013979, n_ok: 377)
  sample  378:    11041  (running sum:   4025020, n_ok: 378)
  sample  379:    11742  (running sum:   4036762, n_ok: 379)
  sample  380:    11211  (running sum:   4047973, n_ok: 380)
  sample  381:    11153  (running sum:   4059126, n_ok: 381)
  sample  382:    11038  (running sum:   4070164, n_ok: 382)
  sample  383:    10511  (running sum:   4080675, n_ok: 383)
  sample  384:    10493  (running sum:   4091168, n_ok: 384)
