:0 lp:13347
[1786047590.491469337] t:211.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13341
[1786047590.591459337] t:211.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13341
[1786047590.691286337] t:211.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047590.791405337] t:211.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13360
[1786047590.891489337] t:212.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13346
[1786047590.991403337] t:212.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13332
[1786047591.091331337] t:212.27s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13343
[1786047591.191299337] t:212.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13307
[1786047591.291302337] t:212.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13350
[1786047591.391430337] t:212.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13355
[1786047591.392976337] teleop freq received: 0.200 Hz
[1786047591.393574337] Computed phase shift: -24.749 rad
[1786047591.394106337] [FAULT] DRV8874 cleared (cmd was 131 at the time)
[1786047591.395149337] [FAULT] DRV8874 cleared (cmd was 0 at the time)
[1786047591.478184337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 10 at the time)
[1786047591.479972337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 10 at the time)
[1786047591.481481337] [FAULT] DRV8874 cleared (cmd was 10 at the time)
[1786047591.482357337] [FAULT] DRV8874 cleared (cmd was 11 at the time)
[1786047591.483277337] [FAULT] DRV8874 cleared (cmd was 11 at the time)
[1786047591.484243337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 11 at the time)
[1786047591.485964337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 11 at the time)
[1786047591.487636337] [FAULT] DRV8874 FAULT ACTIVE (over-current/over-temp/under-voltage) (cmd was 12 at the time)
[1786047591.492497337] t:212.67s enc:0.0 des:1355.7 err:1355.7 cur:39 cmd:13 | pub:0ms ret:0 lp:11410
[1786047591.494079337] [FAULT] DRV8874 cleared (cmd was 14 at the time)
[1786047591.495030337] [FAULT] DRV8874 cleared (cmd was 14 at the time)
[1786047591.495955337] [FAULT] DRV8874 cleared (cmd was 14 at the time)
[1786047591.496779337] [FAULT] DRV8874 cleared (cmd was 14 at the time)
[1786047591.497693337] [FAULT] DRV8874 cleared (cmd was 15 at the time)
[1786047591.498602337] [FAULT] DRV8874 cleared (cmd was 15 at the time)
[1786047591.499514337] [FAULT] DRV8874 cleared (cmd was 15 at the time)
[1786047591.500421337] [FAULT] DRV8874 cleared (cmd was 16 at the time)
[1786047591.501330337] [FAULT] DRV8874 cleared (cmd was 16 at the time)
[1786047591.502233337] [FAULT] DRV8874 cleared (cmd was 16 at the time)
[1786047591.503148337] [FAULT] DRV8874 cleared (cmd was 17 at the time)
[1786047591.504055337] [FAULT] DRV8874 cleared (cmd was 17 at the time)
[1786047591.504982337] [FAULT] DRV8874 cleared (cmd was 17 at the time)
[1786047591.505805337] [FAULT] DRV8874 cleared (cmd was 17 at the time)
[1786047591.506724337] [FAULT] DRV8874 cleared (cmd was 18 at the time)
[1786047591.507636337] [FAULT] DRV8874 cleared (cmd was 18 at the time)
[1786047591.508550337] [FAULT] DRV8874 cleared (cmd was 18 at the time)
[1786047591.509468337] [FAULT] DRV8874 cleared (cmd was 19 at the time)
[1786047591.510387337] [FAULT] DRV8874 cleared (V8874 cleared (cmd was 19 at the time)
[1786047591.513129337] [FAULT] DRV8874 cleared (cmd was 20 at the time)
[1786047591.514054337] [FAULT] DRV8874 cleared (cmd was 20 at the time)
[1786047591.514999337] [FAULT] DRV8874 cleared (cmd was 21 at the time)
[1786047591.515945337] [FAULT] DRV8874 cleared (cmd was 21 at the time)
[1786047591.516788337] [FAULT] DRV8874 cleared (cmd was 21 at the time)
[1786047591.517725337] [FAULT] DRV8874 cleared (cmd was 21 at the time)
[1786047591.518652337] [FAULT] DRV8874 cleared (cmd was 22 at the time)
[1786047591.519584337] [91.521450337] [FAULT] DRV8874 cleared (cmd was 23 at the time)
[1786047591.522384337] [FAULT] DRV8874 cleared (cmd was 23 at the time)
[1786047591.523318337] [FAULT] DRV8874 cleared (cmd was 23 at the time)
[1786047591.524253337] [FAULT] DRV8874 cleared (cmd was 24 at the time)
[1786047591.525216337] [FAULT] DRV8874 cleared (cmd was 24 at the time)
[1786047591.526169337] [FAULT] DRV8874 cleared (cmd was 24 at the time)
[1786047591.527125337] [FAULT] DRV8874 cleared (cmd was 25 at the time)
[1786047591.528073337] [91.529977337] [FAULT] DRV8874 cleared (cmd was 26 at the time)
[1786047591.530923337] [FAULT] DRV8874 cleared (cmd was 26 at the time)
[1786047591.531784337] [FAULT] DRV8874 cleared (cmd was 26 at the time)
[1786047591.532736337] [FAULT] DRV8874 cleared (cmd was 27 at the time)
[1786047591.533689337] [FAULT] DRV8874 cleared (cmd was 27 at the time)
[1786047591.534649337] [FAULT] DRV8874 cleared (cmd was 28 at the time)
[1786047591.535631337] [FAULT] DRV8874 cleared (cmd was 28 at the time)
[1786047591.536598337] [F1.538541337] [FAULT] DRV8874 cleared (cmd was 29 at the time)
[1786047591.539504337] [FAULT] DRV8874 cleared (cmd was 30 at the time)
[1786047591.540478337] [FAULT] DRV8874 cleared (cmd was 30 at the time)
[1786047591.541446337] [FAULT] DRV8874 cleared (cmd was 30 at the time)
[1786047591.542470337] [FAULT] DRV8874 cleared (cmd was 31 at the time)
[1786047591.543617337] [FAULT] DRV8874 cleared (cmd was 31 at the time)
[1786047591.544697337] [FAULT] DRV8874 cleared (cmd was 32 at the time)
[1786047591.545750337] [FAULT] DRV8874 cleared (cmd was 32 at the time)
[1786047591.546752337] [FAULT] DRV8874 cleared (cmd was 33 at the time)
[1786047591.547743337] [FAULT] DRV8874 cleared (cmd was 33 at the time)
